Unnamed: 0,Model Unique Name,train_eng,answer_eng,GT
Latent Diffusion,Inpainting-LatentDiffusion,Can this tool reconstruct a blank spot in the image so that it fits well with the surrounding content?,"In these cases, I recommend the Latent Diffusion model. This model excels at naturally restoring blank or masked areas in an image by considering the surrounding context. Thanks to this, you'll be able to fill in any blank areas in your image without any noticeable blur.",이런 경우에는 Latent Diffusion 모델을 추천할게. 이 모델은 이미지의 공백이나 마스킹된 부분을 주변 맥락을 고려해서 자연스럽게 복원해주는 데 강점이 있어. 덕분에 너의 이미지에서도 비어 있는 부분이 티 나지 않게 잘 메워질 수 있을 거야.
DISCO-c0_2,Colorization-DISCO-c0_2,I have a black-and-white image that I’d like to bring to life. Can you color the foliage green and apply realistic skin tones to the people?,"In this case, I recommend the DISCO-c0_2 model. This model excels at restoring natural colors to black-and-white images. It will help you bring out vivid greens in trees and realistic skin tones in people in your photos.","이런 경우에는 DISCO-c0_2 모델을 추천할게. 이 모델은 흑백 이미지를 자연스러운 색으로 복원하는 데 탁월한 성능을 보여줘. 그래서 너의 사진에서 나무는 생생한 초록색으로, 인물은 실제 같은 피부색으로 표현하는 데 도움이 될 거야."
DISCO-c0_2,Colorization-DISCO-c0_2,Can you apply natural-looking colors to this monochrome photo — like green trees and normal skin colors for people?,"In this case, I recommend the DISCO-c0_2 model. This model excels at adding realistic color to black-and-white images. It naturally colors elements where color expression is crucial, like trees and people, bringing your black-and-white photos to life.","이런 경우에는 DISCO-c0_2 모델을 추천할게. 이 모델은 흑백 이미지에 현실적인 색감을 입혀주는 데 강점이 있어. 나무나 인물처럼 색 표현이 중요한 요소도 자연스럽게 컬러링해줘서, 너의 흑백 사진을 생동감 있게 살릴 수 있어."
DISCO-c0_2,Colorization-DISCO-c0_2,I want to color a grayscale picture. I’d prefer the trees to look green and the people to look natural — can you help with that?,"In this case, I recommend the DISCO-c0_2 model. This model has the ability to fine-tune the colorization of monochrome images to create a realistic look. It's ideal for restoring a realistic atmosphere to your black-and-white photos.","이런 경우에는 DISCO-c0_2 모델을 추천할게. 이 모델은 단색 이미지에 색을 입힐 때, 실제처럼 보이도록 세밀하게 조정해주는 기능이 있어. 그래서 너의 흑백 사진을 현실적인 분위기로 복원하는 데 적합해."
DISCO-rand,Colorization-DISCO-rand,Is there a way to give my black-and-white city photos a fresh artistic look with unique color tones every time?,"In this case, I recommend the DISCO-rand model. This model excels at adding a different color palette to black-and-white city photos, creating a fresh, artistic feel. This allows you to express the same scene with a unique atmosphere each time.","이런 경우에는 DISCO-rand 모델을 추천할게. 이 모델은 흑백 도시 사진에 매번 다른 색감을 입혀서, 예술적인 느낌을 새롭게 연출해주는 데 강점이 있어. 그래서 같은 장면도 매번 색다른 분위기로 표현할 수 있을 거야."
DISCO-rand,Colorization-DISCO-rand,I’d like to reimagine my monochrome urban shots with different artistic color palettes — can you help?,"In this case, I recommend the DISCO-rand model. This model specializes in adding artistic color to black-and-white images, creating a unique look each time. This allows you to reconstruct cityscapes in a way that's not monotonous but rather captivating.","이런 경우에는 DISCO-rand 모델을 추천할게. 이 모델은 흑백 이미지에 예술적인 색채를 입히면서, 매번 다르게 표현하는 데 특화되어 있어. 덕분에 도시 풍경을 단조롭지 않고 감각적으로 재구성할 수 있어."
DISCO-rand,Colorization-DISCO-rand,Can you apply creative and ever-changing colors to black and white photos of cities to make them more expressive?,"In this case, I recommend the DISCO-rand model. This model has the ability to colorize black-and-white city photos with a unique sensibility each time, making it useful for creating expressive results. It can give each photo a unique atmosphere.","이런 경우에는 DISCO-rand 모델을 추천할게. 이 모델은 흑백 도시 사진을 매번 색다른 감성으로 색칠해주는 기능을 갖고 있어서, 표현력 있는 결과물을 만들고 싶을 때 유용해. 각 사진마다 고유한 분위기를 줄 수 있을 거야."
MIMO UNet Plus,Deblur-MIMO-UNet-Plus,"I took a city photo at night, but the lights and buildings are blurry from motion. Can you clean it up so everything looks sharp without ghosting?","In this case, I recommend the MIMO UNet Plus model. This model effectively removes motion blur that occurs in real life, helping to bring out the vividness of light streaks and building outlines in night city shots.",이런 경우에는 MIMO UNet Plus 모델을 추천할게. 이 모델은 실생활에서 생긴 움직임 블러를 효과적으로 제거해줘. 그래서 밤 도시에 찍힌 빛줄기나 건물 윤곽이 또렷하게 살아나도록 도와줄 수 있어.
MIMO UNet Plus,Deblur-MIMO-UNet-Plus,There’s a lot of motion blur in my night street photo. I want the image to look crisp with clear edges and no streaks — can you help?,"In this case, I recommend the MIMO UNet Plus model. This model removes motion blur while preserving as much of the original detail as possible. This will allow you to restore your nighttime street photos to a crisp and clear state.",이런 경우에는 MIMO UNet Plus 모델을 추천할게. 이 모델은 모션 블러를 제거하면서도 원래의 디테일은 최대한 보존해줘. 그래서 너의 야간 거리 사진도 선명하고 깔끔하게 복원할 수 있을 거야.
MIMO UNet Plus,Deblur-MIMO-UNet-Plus,My long-exposure shot of the city has smeared lights and fuzzy edges. I want a clean deblur result that feels natural — no artificial sharpness.,"In this case, I recommend the MIMO UNet Plus model. This model specializes in naturally reducing light bleed and edge blur, allowing you to restore your long-exposure photos to a clear, non-artificial look.","이런 경우에는 MIMO UNet Plus 모델을 추천할게. 이 모델은 빛 번짐이나 경계 흐림을 자연스럽게 줄여주는 데 특화되어 있어서, 너의 장노출 사진도 인위적이지 않게 선명하게 복원할 수 있어."
MIMO UNet RealBlur,Deblur-MIMO-UNet-RealBlur,My subway photo from last night came out blurry because of hand shake. The person’s face is fuzzy — can you recover it clearly without making it look artificial?,"In these cases, I recommend the MIMO UNet RealBlur model. This model excels at naturally restoring blur caused by hand shake. Therefore, it can clearly restore important details like faces while preserving their original atmosphere.",이런 경우에는 MIMO UNet RealBlur 모델을 추천할게. 이 모델은 손떨림으로 인한 흐림을 자연스럽게 복원하는 데 강점이 있어. 그래서 얼굴처럼 중요한 디테일도 원래 분위기를 살리면서 선명하게 복원할 수 있어.
MIMO UNet RealBlur,Deblur-MIMO-UNet-RealBlur,I accidentally shook the camera while taking a portrait on the train. Can you sharpen the face area while keeping it looking natural?,"In this case, I recommend the MIMO UNet RealBlur model. This model specializes in restoring blurry, shaky faces to a clear, natural look. It will also be able to clean up your photos while preserving details.",이런 경우에는 MIMO UNet RealBlur 모델을 추천할게. 이 모델은 흔들려서 흐릿하게 찍힌 얼굴을 선명하고 자연스럽게 되살리는 데 특화되어 있어. 너의 사진도 디테일을 살리면서 깔끔하게 정리해줄 수 있을 거야.
MIMO UNet RealBlur,Deblur-MIMO-UNet-RealBlur,I want to fix the blur in this image caused by motion when I snapped a picture of someone on the subway. Can you enhance it without making the face look unnatural?,"In these cases, I recommend the MIMO UNet RealBlur model. This model delicately restores motion blur in portraits, making faces appear natural and clear.","이런 경우에는 MIMO UNet RealBlur 모델을 추천할게. 이 모델은 인물 사진에서 생긴 모션 블러를 섬세하게 복원해줘서, 얼굴이 자연스럽고 또렷하게 보이도록 만들어줄 수 있어."
MSSNet L GoPro,Deblur-MSSNet-L-GoPro,Our year-end group photo turned out blurry. I’d like to enhance everyone’s face and festive decor — can you help?,"In this case, I recommend the MSSNet L GoPro model. This model clearly restores details like faces and decorations, even in complex scenes like group photos. This will help your year-end photos look cleaner and clearer.",이런 경우에는 MSSNet L GoPro 모델을 추천할게. 이 모델은 단체 사진처럼 복잡한 장면에서도 얼굴이나 장식 같은 디테일을 또렷하게 복원해줘. 그래서 너의 연말 사진도 더 깔끔하고 선명하게 살릴 수 있을 거야.
MSSNet L GoPro,Deblur-MSSNet-L-GoPro,I have a blurry picture from a holiday party — can you make facial expressions and background decorations sharper?,"In this case, I recommend the MSSNet L GoPro model. This model specializes in restoring detailed details, including facial expressions and background props, from blurry images. So, your holiday party photos will be even more vivid.",이런 경우에는 MSSNet L GoPro 모델을 추천할게. 이 모델은 흐릿한 이미지에서 인물의 표정이나 배경 소품까지 세밀하게 복원해주는 데 특화되어 있어. 그래서 너의 연말 파티 사진도 더욱 생생하게 되살릴 수 있을 거야.
MSSNet L GoPro,Deblur-MSSNet-L-GoPro,Can you deblur a celebration photo where the people and lights came out soft and unclear?,"In this case, I recommend the MSSNet L GoPro model. This model effectively restores blur and detail loss caused by low-light environments. This will help your holiday party photos capture people and decorative lighting more clearly.",이런 경우에는 MSSNet L GoPro 모델을 추천할게. 이 모델은 어두운 환경에서 생긴 블러나 디테일 손실을 효과적으로 복원해줘. 그래서 너의 연말 모임 사진도 인물과 장식 조명을 더 또렷하게 표현하는 데 도움이 될 거야.
MSSNet RealBlurJ,Deblur-MSSNet-RealBlurJ,"I took a quick shot of a moving vehicle, but the license plate looks fuzzy. Can you sharpen it so the numbers are clear?","In these cases, I recommend the MSSNet RealBlurJ model. This model effectively reduces blurring that occurs when capturing fast-moving objects, allowing for the clear recovery of important information like license plates.",이런 경우에는 MSSNet RealBlurJ 모델을 추천할게. 이 모델은 빠르게 움직이는 물체를 찍을 때 생기는 블러를 효과적으로 줄여줘. 그래서 차량 번호판처럼 중요한 정보도 선명하게 복원할 수 있어.
MSSNet RealBlurJ,Deblur-MSSNet-RealBlurJ,The car’s plate in my street photo is hard to read due to motion blur. Can you help enhance it?,"In these cases, I recommend the MSSNet RealBlurJ model. This model precisely restores the shaking and blurring that occurs in real-world environments, allowing even small details like license plates to be clearly represented.","이런 경우에는 MSSNet RealBlurJ 모델을 추천할게. 이 모델은 실제 환경에서 생긴 흔들림이나 흐림을 정밀하게 복원해줘서, 번호판처럼 작은 디테일도 또렷하게 살릴 수 있어."
MSSNet RealBlurJ,Deblur-MSSNet-RealBlurJ,Can you recover a blurry license number in an image I took of a passing car on a city road?,"In these cases, I recommend the MSSNet RealBlurJ model. This model effectively handles shaking and motion blur even in complex environments like urban areas. Thanks to this, it can even restore license plates clearly enough to be read.",이런 경우에는 MSSNet RealBlurJ 모델을 추천할게. 이 모델은 도심처럼 복잡한 환경에서도 흔들림이나 모션 블러를 잘 잡아줘. 덕분에 차량 번호판도 깔끔하게 읽을 수 있을 만큼 선명하게 복원해줄 수 있어.
MSSNet RealBlurR,Deblur-MSSNet-RealBlurR,The cake and bread I photographed through a bakery window turned out soft and noisy. Can you clean it up so the textures look sharp and realistic?,"In this case, I recommend the MSSNet RealBlurR model. This model specializes in retrieving texture and detail from blurry images captured in real life. So, it can restore your dessert photos to a smooth, natural look. Oh.",이런 경우에는 MSSNet RealBlurR 모델을 추천할게. 이 모델은 실생활에서 촬영된 흐릿한 이미지에서 질감과 디테일을 잘 살려주는 데 특화되어 있어. 그래서 너의 디저트 사진도 부드럽고 자연스럽게 복원할 수 있을 거야.
MSSNet RealBlurR,Deblur-MSSNet-RealBlurR,My bakery photo is blurry and grainy — I want to bring out the texture of the cake decorations. Can you enhance it without making it look artificial?,"In these cases, I recommend the MSSNet RealBlurR model. This model effectively removes noise and blur while preserving the original texture as much as possible. This allows it to naturally restore even delicate details like cake decorations or the surface of bread.",이런 경우에는 MSSNet RealBlurR 모델을 추천할게. 이 모델은 노이즈와 블러를 효과적으로 제거하면서도 원본의 질감을 최대한 유지해줘. 그래서 케이크 장식이나 빵의 표면처럼 섬세한 부분도 자연스럽게 복원할 수 있어.
MSSNet RealBlurR,Deblur-MSSNet-RealBlurR,The bread and desserts in my picture lack clarity because of camera shake. Can you restore the image while keeping the soft texture intact?,"In this case, I recommend the MSSNet RealBlurR model. This model excels at restoring clarity while preserving smooth textures even in shaky or grainy images. It can naturally enhance your bakery photos.",이런 경우에는 MSSNet RealBlurR 모델을 추천할게. 이 모델은 흔들리거나 거친 입자가 섞인 이미지에서도 부드러운 질감을 살리면서 또렷하게 복원해주는 데 강점이 있어. 너의 베이커리 사진도 자연스럽게 개선할 수 있을 거야.
SwinIR Noise15,Denoise-SwinIR-Noise15,This photo has a moderate amount of grain. Can you reduce it without losing the original details?,"In this case, I recommend the SwinIR Noise15 model. This model excels at naturally reducing noise while preserving sharp image details. This will allow you to refine your photos smoothly and cleanly.",이런 경우에는 SwinIR Noise15 모델을 추천할게. 이 모델은 노이즈를 자연스럽게 줄이면서도 이미지의 선명한 디테일은 그대로 유지하는 데 뛰어나. 그래서 너의 사진도 부드럽고 깔끔하게 보정할 수 있을 거야.
SwinIR Noise15,Denoise-SwinIR-Noise15,I want to clean up this image without making it look too smooth. Can you remove the noise gently?,"In this case, I recommend the SwinIR Noise15 model. This model gently removes moderate noise without being excessive, resulting in a natural, uncluttered image. This allows you to enhance your images while maintaining their original feel.","이런 경우에는 SwinIR Noise15 모델을 추천할게. 이 모델은 중간 정도의 노이즈를 과하지 않게 부드럽게 제거해줘서, 사진이 인위적으로 보이지 않고 자연스럽게 정리돼. 덕분에 너의 이미지도 본래 느낌을 유지하면서 개선할 수 있어."
SwinIR Noise15,Denoise-SwinIR-Noise15,"There’s noticeable noise in this picture, but I don’t want to lose the texture. Can you help denoise it in a subtle way?","In this case, I recommend the SwinIR Noise15 model. This model excels at suppressing noise while preserving texture and detail. This will help you enhance your photos to create a natural yet vivid image.",이런 경우에는 SwinIR Noise15 모델을 추천할게. 이 모델은 노이즈를 억제하면서도 질감이나 디테일을 잘 보존해주는 데 강점이 있어. 그래서 너의 사진을 자연스러우면서도 선명하게 보정하는 데 도움이 될 거야.
SwinIR Noise25,Denoise-SwinIR-Noise25,This picture has some strong grain. Can you clean it up without making the image look smudged?,"In these cases, I recommend the SwinIR Noise25 model. This model cleanly removes noticeable noise while preserving natural outlines and textures. This ensures your photos are sharp and uncluttered.","이런 경우에는 SwinIR Noise25 모델을 추천할게. 이 모델은 눈에 띄는 노이즈를 깔끔하게 제거하면서도, 윤곽선이나 질감을 자연스럽게 보존해줘. 그래서 사진이 뭉개지지 않고 또렷하게 정리될 수 있어."
SwinIR Noise25,Denoise-SwinIR-Noise25,"I’d like to remove a fair amount of noise from this image, but I want to keep the edges sharp. Can you help?","In this case, I recommend the SwinIR Noise25 model. This model excels at effectively reducing medium-high noise levels while maintaining edge sharpness. This allows you to restore your images to a clean and clear state.",이런 경우에는 SwinIR Noise25 모델을 추천할게. 이 모델은 중간 이상 수준의 노이즈를 효과적으로 줄이면서도 가장자리의 선명도는 유지해주는 데 강점이 있어. 그래서 너의 이미지도 깨끗하고 선명하게 복원할 수 있어.
SwinIR Noise25,Denoise-SwinIR-Noise25,My image has quite a bit of digital noise. Can you denoise it while preserving texture and clarity?,"In this case, I recommend the SwinIR Noise25 model. This model excels at reducing harsh digital noise while preserving the original texture and detail. It's ideal for creating natural, clear images.","이런 경우에는 SwinIR Noise25 모델을 추천할게. 이 모델은 거친 디지털 노이즈를 줄이는 데 탁월하면서도, 원래의 질감과 디테일은 잘 살려줘. 그래서 너의 사진을 자연스럽고 또렷하게 만드는 데 적합해."
SwinIR Noise50,Denoise-SwinIR-Noise50,My indoor product shots have heavy noise because of low light. Can you reduce the grain and keep the labels readable?,"In this case, I recommend the SwinIR Noise50 model. This model excels at effectively reducing harsh noise generated in dark environments while clearly restoring text and textures on products. This will significantly improve the appearance of your product photos.","이런 경우에는 SwinIR Noise50 모델을 추천할게. 이 모델은 어두운 환경에서 생긴 심한 노이즈를 효과적으로 줄이면서도, 제품의 텍스트나 질감을 또렷하게 복원해주는 데 뛰어나. 그래서 너의 제품 사진도 훨씬 보기 좋게 개선할 수 있어."
SwinIR Noise50,Denoise-SwinIR-Noise50,"Due to poor lighting, my product image looks noisy and unclear. Can you help recover the textures and fine details?","In these cases, I recommend the SwinIR Noise50 model. This model consistently improves image quality even in low-light conditions. It's particularly effective at clearly capturing important elements like product surface textures and labels.",이런 경우에는 SwinIR Noise50 모델을 추천할게. 이 모델은 조도가 낮은 상황에서도 이미지 품질을 안정적으로 향상시켜줘. 특히 제품 표면의 질감이나 라벨처럼 중요한 요소를 선명하게 살리는 데 효과적이야.
SwinIR Noise50,Denoise-SwinIR-Noise50,The photo I took of a product in dim lighting has too much digital noise. Can you clean it up so it looks sharp?,"In this case, I recommend the SwinIR Noise50 model. This model excels at restoring clarity even in photos with significant digital noise. This allows you to naturally refine your indoor product photos to better display textures and text.",이런 경우에는 SwinIR Noise50 모델을 추천할게. 이 모델은 디지털 노이즈가 심하게 낀 사진에서도 선명함을 되살려주는 데 강점이 있어. 그래서 너의 실내 제품 사진도 텍스처와 글자가 더 잘 보이도록 자연스럽게 정리할 수 있어.
BLIP-L,Img2Txt-HuggingFace-Salesforce-blip-image-captioning-large,I want to describe what’s happening in this picture in words. Can you help me turn the image into text?,"In this case, I recommend the BLIP-L model. This model excels at analyzing scenes and objects in images and expressing them in natural sentences. Therefore, it's ideal for translating the content of your photos into text.",이런 경우에는 BLIP-L 모델을 추천할게. 이 모델은 이미지 속의 장면이나 사물을 분석해서 자연스러운 문장으로 표현해주는 데 뛰어나. 그래서 너의 사진 내용을 글로 풀어내는 데 아주 적합해.
BLIP-L,Img2Txt-HuggingFace-Salesforce-blip-image-captioning-large,Can this tool automatically generate a caption for the photo I uploaded?,"In this case, I recommend the BLIP-L model. This model specializes in image captioning, providing sentence-based descriptions of the situation within a photo. Thanks to this, it can automatically generate captions for photos you upload.",이런 경우에는 BLIP-L 모델을 추천할게. 이 모델은 사진을 보고 그 안의 상황을 문장 형태로 설명해주는 이미지 캡셔닝에 특화되어 있어. 덕분에 너가 업로드한 사진도 자동으로 설명을 만들어낼 수 있을 거야.
BLIP-L,Img2Txt-HuggingFace-Salesforce-blip-image-captioning-large,I’m looking for a way to summarize what’s shown in this image using text. Can you generate a description?,"In this case, I recommend the BLIP-L model. This model excels at understanding the main content of an image and expressing it in concise text. Therefore, it can generate sentences that describe your image naturally and accurately.",이런 경우에는 BLIP-L 모델을 추천할게. 이 모델은 이미지의 주요 내용을 이해하고 간결한 텍스트로 표현하는 데 강점이 있어. 그래서 너의 이미지도 자연스럽고 정확하게 설명하는 문장을 생성할 수 있어.
ViLT VQAv2,ImgTxt2Txt-HuggingFace-dandelin-vilt-b32-finetuned-vqa,I took a picture of a supermarket shelf. Can you count the bottles and identify what’s inside them?,"In this case, I recommend the ViLT VQAv2 model. This model can directly answer questions based on information within the image, helping you identify the number of bottles and their contents in your photo.","이런 경우에는 ViLT VQAv2 모델을 추천할게. 이 모델은 이미지 안의 정보를 바탕으로 질문에 직접 답할 수 있는 능력을 갖고 있어서, 너의 사진에 있는 병의 개수나 내용물을 파악하는 데 도움이 될 거야."
ViLT VQAv2,ImgTxt2Txt-HuggingFace-dandelin-vilt-b32-finetuned-vqa,This image shows a store display with bottles. Can you answer how many there are and what kind of items they are?,"In this case, I recommend the ViLT VQAv2 model. This model specializes in understanding objects in photos and naturally answering questions about them. Therefore, it will be useful for determining how many items are in your store photos and what products they are.","이런 경우에는 ViLT VQAv2 모델을 추천할게. 이 모델은 사진 속 사물들을 이해하고, 그에 대해 자연스럽게 질문에 답하는 데 특화되어 있어. 그래서 너의 매장 사진에 있는 물건이 몇 개인지, 어떤 제품인지 판단하는 데 유용할 거야."
